subject,body
Meeting scheduled,Your meeting is scheduled for tomorrow at 2pm in conference room A
Project update,The project has been completed on schedule with all requirements met
Weekly report,Please find the weekly report attached for your review
Team announcement,Team lunch is scheduled for Friday at noon in the office
Quarterly results,Our quarterly results show strong growth in all departments
Project deadline,The project deadline has been extended to next month
Training session,Attendance at the training session is required for new team members
System maintenance,Scheduled system maintenance will occur on Sunday night
Document sharing,New documents have been shared with your team for collaboration
Event invitation,You are invited to the annual company event next week
Status update,Here is the current status of all ongoing projects
Budget approval,The budget for Q1 has been approved and is ready for distribution
Policy reminder,Please review the updated company policies in the shared folder
Holiday schedule,The holiday schedule for this year has been published
Performance review,Your quarterly performance review is now available
Office closure,The office will be closed next Monday for maintenance
Newsletter,The monthly company newsletter is now available
Survey request,Please complete the employee satisfaction survey by Friday
IT support,Your IT support ticket has been resolved
Travel booking,Your business travel has been booked successfully
Conference registration,Your registration for the industry conference is confirmed
Department meeting,Department meeting scheduled for next Tuesday
Resource allocation,New resources have been allocated to your project
Code review,Your code changes have been reviewed and approved
Documentation update,The project documentation has been updated
Team building,Team building event planned for next month
Feedback session,Feedback session with management scheduled
Equipment request,Your equipment request has been approved
Software update,New software version available for installation
Security training,Mandatory security training session next week
Vendor meeting,Vendor meeting confirmed for Thursday
Progress report,Monthly progress report is due by end of week
Client presentation,Client presentation materials are ready
Database backup,Database backup completed successfully
Server maintenance,Server maintenance window scheduled
Access request,Your access request has been processed
Password policy,Password policy reminder sent to all users
Backup verification,Backup verification completed
System monitoring,System monitoring alerts configured
Network upgrade,Network upgrade scheduled for weekend
